DBID,FTYID,FTYName,V,DBID,,,
654,7MF,巨能,7MF-巨能,654,,,
655,7YG,亚泰,7YG-亚泰,655,,,
656,7YI,优灿,7YI-优灿,656,,,
657,7TQ,彤熹,7TQ-彤熹,657,,,
658,7BJ,海江,7BJ-海江,658,,,
659,7BK,海科,7BK-海科,659,,,
660,7BH,温州剑红,7BH-温州剑红,660,,,
661,7ET,佛山技拓,7ET-佛山技拓,661,,,
662,7TV,同发,7TV-同发,662,,,
663,7FE,福尔特,7FE-福尔特,663,,,
664,7LM,力创,7LM-力创,664,,,
665,7IT,海田,7IT-海田,665,,,
666,7RB,瑞宝,7RB-瑞宝,666,,,
667,7DB,德塔森特,7DB-德塔森特,667,,,
668,7XB,希格玛,7XB-希格玛,668,,,
669,7BE,博洛克,7BE-博洛克,669,,,
670,7LN,雷盟,7LN-雷盟,670,,,
671,7DC,迪科,7DC-迪科,671,,,
672,7KH,康润,7KH-康润,672,,,
673,7CR,海荣,7CR-海荣,673,,,
674,7AI,艾德森,7AI-艾德森,674,,,
675,7LO,南一,7LO-南一,675,,,
676,7IJ,台进,7IJ-台进,676,,,
677,7CG,驰鑫,7CG-驰鑫,677,,,
678,7KI,科朗斯,7KI-科朗斯,678,,,
679,7YN,优诺姆,7YN-优诺姆,679,,,
680,7YQ,甬丰,7YQ-甬丰,680,,,
681,7GF,格瑞德,7GF-格瑞德,681,,,
682,7LP,苏州立注,7LP-苏州立注,682,,,
683,7XC,湘通（海辰）,7XC-湘通（海辰）,683,,,
685,7XE,张家港鑫锐恒,7XE-张家港鑫锐恒,685,,,
686,7CI,张家港诚信,7CI-张家港诚信,686,,,
687,7WQ,伟祺,7WQ-伟祺,687,,,
688,7BI,宝力,7BI-宝力,688,,,
689,7DE,德立天,7DE-德立天,689,,,
690,7LR,力速,7LR-力速,690,,,
691,7PT,鹏泰,7PT-鹏泰,691,,,
692,7QS,奇盛,7QS-奇盛,692,,,
693,7MC,满誉,7MC-满誉,693,,,
