"00TKCA60M5C","TKC_A60_M5C"
"1BX_714SBSB","CPUB_N1/R4/TP10_SB*2"
"1BX_714SBSBSB","CPUB_N1/R4/TP10*3"
"1BX_715A1A1P1S6","R5,CPUB_N1,IO3232A*2,AD8B,S6"
"1BX_715A1A4P1S1","R5,CPUB_N1*1,IO3232M1A*1,IO4848A*1,AD8B*1,TP10A_S1*1"
"1BX_715A1P1S1S1","R5,CPUB_N1*1,IO3232M1A*1,AD8B*1,TP10A_S1*2"
"1BX_715A1P1SBSB","R5,IO3232,AD8B,TP10SB*2"
"1BX_715A2A4P1S1","R5,CPUB_N1*1,IO3248M1A*1,IO4848A *1,AD8B*1,TP10A_S1*1"
"1BX_715A2P1M1M1","R5,CPUB_N1,IO3248A,AD08,PWM09*2"
"1BX_715A2P1M1V1","R5,CPUB_N1,IO3248,AD8B,PWM09,V8A_V1"
"1BX_715A2P1S1N1","R5,CPUB_N1*1,IO3248M1A*1,AD8B*1,TP10A_S1*1,PWM0_N1*1"
"1BX_715A2P1S1S1","R5,CPUB_N1,IO3248,AD8B,TP10_S1*2"
"1BX_715A2P1S1V1","R5,CPUB_N1,IO3248,AD8B,TP10_S1,V8A_V1"
"1BX_715A2P1S6N6","R5,CPUB_N1,IO3248M1A,AD8*1,S6*1 N6*1"
"1BX_715A2P1S6S6","R5,CPUB_N1,IO3248M1A,AD8*1,TP10_S6*2"
"1BX_715A2P1S6V5","R5,CPUB_N1,IO3248M1A*1,AD8B*1,TP10_S6*1,V8A_V5"
"1BX_715A2P5P5S1","R5,CPUB_N1*1,IO3248*1,FRAD8*2,TP10A_S1*1"
"1BX_715A4A2P1M1","R5,CPUB_N1,IO4848A,IO3248M1A,AD8B,PWM09"
"1BX_715A4A4P1S1","R5,CPUB_N1,IO4848A,IO3248M1A*2,AD8B,TP10A_S1"
"1BX_715A4P1M1M1","R5,CPUB_N1*1,IO4848A*1,AD8B*1,PWM09*1,PWM09*1"
"1BX_715A4P1S1S1","R5,CPUB_N1,IO4848A,AD8B,TP10_S1*2"
"1BX_715A4P1S1V5","R5,CPUB_N1,IO4848A*1,AD8B*1,TP10_S1*1,V8A_V5*1"
"1BX_715A4P1S6N6","CPUB_N1,R5,IO4848A.AD8,TP10_S6,PWM0_N6"
"1BX_715A4P1S6S6","CPUB_N1,R5,IO4848A.AD8,TP10_S6*2"
"1BX_715A4P1S6V1","R5.700CPUB_N1,IO4848A,AD8,TP10_S6,V8A_V1"
"1BX_715I1P1M1V1","RACK5,CPUB_N1,IO3232,PWM09,V8A_V1"
"1BX_715I2I2P1M6","R5,CPUN_N1,IO3248M1,AD8B,PWM09_M6"
"1BX_715I4P1S1S1","CPUB_N1,R5,IO4848.AD8,TP10_S1*2"
"1BX_715I4P1S2S2","C700CPUB_N1,AD08,IO4848,TPS2,TPS2"
"1BX_715S1S1S1S1","RACK5，CPUB_N1，TP10_S1*4"
"1BX_715S6S6S6S6","RACK5,CPUB_N1,TP10_S6*4"
"1BX_715SBSBSBSB","CPUB_N1/R5/TP10*4"
"1BX_716A1A2P1M1V1","R6,CPUB_N1*1,IO3232M1A*1,IO3248M1A*1,AD8B*1,PWM09*1,V8A_V1*1"
"1BX_716A1A2P1S1V1","R6,CPUB_N1*1,IO3232M1A*1,IO3248M1A*1,AD8B*1,S1*1,V8A_V1*1"
"1BX_716A1A4P1S1S1","R6,CPUB_N1*1,IO3232M1A*1,IO4848A*1,AD8B*1,TP10A_S1*2"
"1BX_716A1A4P1S6N1","R6,CPUB_N1,IO4848A*1,IO3232M1A*1,AD8B*1,TP10_S6*1,PWM0_N1*1"
"1BX_716A1A4P1S6V1","R6,IO3232M1A,IO4848A,AD8B,TP10_S6,V8A_V1"
"1BX_716A1A4P5P5S1","R6,CPUB_N1,IO3232M1A*1,IO4848A*1,FRAD8*2,TP10A_S1*1"
